Partitions: [[4  1  1]  [3  1  2]  [3  2  1]  [2  2  2]]


Cycle Partition: [4  1  1]
,mu,isomorphisms
,(3 4 5), 36

,mu,isomorphisms
,(2 3)(4 5), 32

Cycle Partition: [3  1  2]
,mu,isomorphisms
,(2 3 4 5), 16

,mu,isomorphisms
,(1 2)(3 4 5), 12

,mu,isomorphisms
,(0 1)(2 3)(4 5), 96

Cycle Partition: [3  2  1]
,mu,isomorphisms
,(2 3 4 5), 16

,mu,isomorphisms
,(1 2)(3 4 5), 12

,mu,isomorphisms
,(0 1)(2 3)(4 5), 96

Cycle Partition: [2  2  2]
,mu,isomorphisms
,(1 2 3 4 5), 10

,mu,isomorphisms
,(0 1)(2 3 4 5), 16

,mu,isomorphisms
,(0 1 2)(3 4 5), 36

