['Partitions: [[3  1  1]  [2  1  2]  [2  2  1]]']


Cycle Partition, Mu, # Iso, # Sigmas, C, # Tot Sigmas, C, # All Paritions, C, Percent Connected
[3  1  1], (2 3 4 5 6 7 8),  28, 10080, 10080
[3  1  1], (1 2)(3 4 5 6 7 8),  24, 8640, 8640
[3  1  1], (1 2 3)(4 5 6 7 8),  30, 9120, 9120
[3  1  1], (1 2 3 4)(5 6 7 8),  64, 8832, 8832
[3  1  1], (0 1)(2 3)(4 5 6 7 8),  80, 7680, 7680
[3  1  1], (0 1)(2 3 4)(5 6 7 8),  48, 7872, 7872
[3  1  1], (0 1 2)(3 4 5)(6 7 8),  324, 8352, 8352
[3  1  1],,,,,60576, 60576

[2  1  2], (1 2 3 4 5 6 7 8),  16, 24352, 24352
[2  1  2], (0 1)(2 3 4 5 6 7 8),  28, 22568, 22568
[2  1  2], (0 1 2)(3 4 5 6 7 8),  36, 22872, 22872
[2  1  2], (0 1 2 3)(4 5 6 7 8),  40, 22800, 22800
[2  1  2],,,,,92592, 92592

[2  2  1], (1 2 3 4 5 6 7 8),  16, 24352, 24352
[2  2  1], (0 1)(2 3 4 5 6 7 8),  28, 22568, 22568
[2  2  1], (0 1 2)(3 4 5 6 7 8),  36, 22872, 22872
[2  2  1], (0 1 2 3)(4 5 6 7 8),  40, 22800, 22800
[2  2  1],,,,,92592, 92592

,,,,,,,245760,245760,100.0
