Partitions: [[2  1  1]]


Cycle Partition: [2  1  1]
,mu,isomorphisms, sigma, phi, C
,(1 2 3), 6
,,,(0 1 2 3),(0 1 3 2),1
,,,(0 2 3 1),(0 2 1 3),1
,,,(0 3 1 2),(0 3 2 1),1

,mu,isomorphisms, sigma, phi, C
,(0 1)(2 3), 16
,,,(0 2 1 3),(0 3 1 2),1
,,,(0 3 1 2),(0 2 1 3),1

