['Partitions: [[3  1  1]  [2  1  2]  [2  2  1]]']


Cycle Partition, Mu, # Iso, # Sigmas, C, # Tot Sigmas, C, # All Paritions, C, Percent Connected
[3  1  1], (2 3 4 5 6),  20, 240, 240
[3  1  1], (1 2)(3 4 5 6),  16, 192, 192
[3  1  1], (1 2 3)(4 5 6),  36, 216, 216
[3  1  1], (0 1)(2 3)(4 5 6),  48, 168, 168
[3  1  1],,,,,816, 816

[2  1  2], (1 2 3 4 5 6),  12, 504, 504
[2  1  2], (0 1)(2 3 4 5 6),  20, 460, 460
[2  1  2], (0 1 2)(3 4 5 6),  24, 468, 468
[2  1  2],,,,,1432, 1432

[2  2  1], (1 2 3 4 5 6),  12, 504, 504
[2  2  1], (0 1)(2 3 4 5 6),  20, 460, 460
[2  2  1], (0 1 2)(3 4 5 6),  24, 468, 468
[2  2  1],,,,,1432, 1432

,,,,,,,3680,3680,100.0
