['Partitions: [[4  1  1]  [3  1  2]  [3  2  1]  [2  2  2]]']


Cycle Partition, Mu, # Iso, # Sigmas, C, # Tot Sigmas, C, # All Paritions, C, Percent Connected
[4  1  1], (3 4 5 6 7),  60, 1680, 1680
[4  1  1], (2 3)(4 5 6 7),  32, 1344, 1344
[4  1  1], (2 3 4)(5 6 7),  72, 1512, 1512
[4  1  1], (1 2)(3 4)(5 6 7),  48, 1176, 1176
[4  1  1], (0 1)(2 3)(4 5)(6 7),  768, 1008, 1008
[4  1  1],,,,,6720, 6720

[3  1  2], (2 3 4 5 6 7),  24, 3528, 3528
[3  1  2], (1 2)(3 4 5 6 7),  20, 3220, 3220
[3  1  2], (1 2 3)(4 5 6 7),  24, 3276, 3276
[3  1  2], (0 1)(2 3)(4 5 6 7),  64, 2968, 2968
[3  1  2], (0 1)(2 3 4)(5 6 7),  72, 3024, 3024
[3  1  2],,,,,16016, 16016

[3  2  1], (2 3 4 5 6 7),  24, 3528, 3528
[3  2  1], (1 2)(3 4 5 6 7),  20, 3220, 3220
[3  2  1], (1 2 3)(4 5 6 7),  24, 3276, 3276
[3  2  1], (0 1)(2 3)(4 5 6 7),  64, 2968, 2968
[3  2  1], (0 1)(2 3 4)(5 6 7),  72, 3024, 3024
[3  2  1],,,,,16016, 16016

[2  2  2], (1 2 3 4 5 6 7),  14, 8461, 8281
[2  2  2], (0 1)(2 3 4 5 6 7),  24, 8106, 8106
[2  2  2], (0 1 2)(3 4 5 6 7),  30, 8123, 8115
[2  2  2], (0 1 2 3)(4 5 6 7),  64, 8132, 8132
[2  2  2],,,,,32822, 32634

,,,,,,,71574,71386,99.73733478637494
