['Partitions: [[4  1  1]  [3  1  2]  [3  2  1]  [2  2  2]]']


Cycle Partition, Mu, # Iso, # Sigmas, C, # Tot Sigmas, C, # All Paritions, C, Percent Connected
[4  1  1], (3 4 5),  36, 60, 60
[4  1  1], (2 3)(4 5),  32, 40, 40
[4  1  1],,,,,100, 100

[3  1  2], (2 3 4 5),  16, 100, 100
[3  1  2], (1 2)(3 4 5),  12, 90, 90
[3  1  2], (0 1)(2 3)(4 5),  96, 80, 80
[3  1  2],,,,,270, 270

[3  2  1], (2 3 4 5),  16, 100, 100
[3  2  1], (1 2)(3 4 5),  12, 90, 90
[3  2  1], (0 1)(2 3)(4 5),  96, 80, 80
[3  2  1],,,,,270, 270

[2  2  2], (1 2 3 4 5),  10, 208, 200
[2  2  2], (0 1)(2 3 4 5),  16, 200, 200
[2  2  2], (0 1 2)(3 4 5),  36, 199, 198
[2  2  2],,,,,607, 598

,,,,,,,1247,1238,99.27826784282277
