Partitions: [[8  1  1]  [7  1  2]  [7  2  1]  [6  1  3]  [6  3  1]  [5  1  4]  [5  4  1]  [6  2  2]  [5  2  3]  [5  3  2]  [4  2  4]  [4  4  2]  [4  3  3]]


Cycle Partition: [8  1  1]
,mu,isomorphisms
,(7), 80640

Cycle Partition: [7  1  2]
,mu,isomorphisms
,(6 7), 2880

Cycle Partition: [7  2  1]
,mu,isomorphisms
,(6 7), 2880

Cycle Partition: [6  1  3]
,mu,isomorphisms
,(5 6 7), 720

,mu,isomorphisms
,(4 5)(6 7), 384

Cycle Partition: [6  3  1]
,mu,isomorphisms
,(5 6 7), 720

,mu,isomorphisms
,(4 5)(6 7), 384

Cycle Partition: [5  1  4]
,mu,isomorphisms
,(4 5 6 7), 192

,mu,isomorphisms
,(3 4)(5 6 7), 72

,mu,isomorphisms
,(2 3)(4 5)(6 7), 192

Cycle Partition: [5  4  1]
,mu,isomorphisms
,(4 5 6 7), 192

,mu,isomorphisms
,(3 4)(5 6 7), 72

,mu,isomorphisms
,(2 3)(4 5)(6 7), 192

Cycle Partition: [6  2  2]
,mu,isomorphisms
,(5 6 7), 720

,mu,isomorphisms
,(4 5)(6 7), 384

Cycle Partition: [5  2  3]
,mu,isomorphisms
,(4 5 6 7), 192

,mu,isomorphisms
,(3 4)(5 6 7), 72

,mu,isomorphisms
,(2 3)(4 5)(6 7), 192

Cycle Partition: [5  3  2]
,mu,isomorphisms
,(4 5 6 7), 192

,mu,isomorphisms
,(3 4)(5 6 7), 72

,mu,isomorphisms
,(2 3)(4 5)(6 7), 192

Cycle Partition: [4  2  4]
,mu,isomorphisms
,(3 4 5 6 7), 60

,mu,isomorphisms
,(2 3)(4 5 6 7), 32

,mu,isomorphisms
,(2 3 4)(5 6 7), 72

,mu,isomorphisms
,(1 2)(3 4)(5 6 7), 48

,mu,isomorphisms
,(0 1)(2 3)(4 5)(6 7), 768

Cycle Partition: [4  4  2]
,mu,isomorphisms
,(3 4 5 6 7), 60

,mu,isomorphisms
,(2 3)(4 5 6 7), 32

,mu,isomorphisms
,(2 3 4)(5 6 7), 72

,mu,isomorphisms
,(1 2)(3 4)(5 6 7), 48

,mu,isomorphisms
,(0 1)(2 3)(4 5)(6 7), 768

Cycle Partition: [4  3  3]
,mu,isomorphisms
,(3 4 5 6 7), 60

,mu,isomorphisms
,(2 3)(4 5 6 7), 32

,mu,isomorphisms
,(2 3 4)(5 6 7), 72

,mu,isomorphisms
,(1 2)(3 4)(5 6 7), 48

,mu,isomorphisms
,(0 1)(2 3)(4 5)(6 7), 768

