Partitions: [[5  1  1]  [4  1  2]  [4  2  1]  [3  1  3]  [3  3  1]  [3  2  2]]


Cycle Partition: [5  1  1]
,mu,isomorphisms
,(4), 240

Cycle Partition: [4  1  2]
,mu,isomorphisms
,(3 4), 24

Cycle Partition: [4  2  1]
,mu,isomorphisms
,(3 4), 24

Cycle Partition: [3  1  3]
,mu,isomorphisms
,(2 3 4), 12

,mu,isomorphisms
,(1 2)(3 4), 16

Cycle Partition: [3  3  1]
,mu,isomorphisms
,(2 3 4), 12

,mu,isomorphisms
,(1 2)(3 4), 16

Cycle Partition: [3  2  2]
,mu,isomorphisms
,(2 3 4), 12

,mu,isomorphisms
,(1 2)(3 4), 16

