Partitions: [[6  1  1]  [5  1  2]  [5  2  1]  [4  1  3]  [4  3  1]  [4  2  2]  [3  2  3]  [3  3  2]]


Cycle Partition: [6  1  1]
,mu,isomorphisms
,(5), 1440

Cycle Partition: [5  1  2]
,mu,isomorphisms
,(4 5), 96

Cycle Partition: [5  2  1]
,mu,isomorphisms
,(4 5), 96

Cycle Partition: [4  1  3]
,mu,isomorphisms
,(3 4 5), 36

,mu,isomorphisms
,(2 3)(4 5), 32

Cycle Partition: [4  3  1]
,mu,isomorphisms
,(3 4 5), 36

,mu,isomorphisms
,(2 3)(4 5), 32

Cycle Partition: [4  2  2]
,mu,isomorphisms
,(3 4 5), 36

,mu,isomorphisms
,(2 3)(4 5), 32

Cycle Partition: [3  2  3]
,mu,isomorphisms
,(2 3 4 5), 16

,mu,isomorphisms
,(1 2)(3 4 5), 12

,mu,isomorphisms
,(0 1)(2 3)(4 5), 96

Cycle Partition: [3  3  2]
,mu,isomorphisms
,(2 3 4 5), 16

,mu,isomorphisms
,(1 2)(3 4 5), 12

,mu,isomorphisms
,(0 1)(2 3)(4 5), 96

