Partitions: [[4  1  1]  [3  1  2]  [3  2  1]  [2  2  2]]


Cycle Partition: [4  1  1]
,mu,isomorphisms
,(3 4 5 6 7), 60

,mu,isomorphisms
,(2 3)(4 5 6 7), 32

,mu,isomorphisms
,(2 3 4)(5 6 7), 72

,mu,isomorphisms
,(1 2)(3 4)(5 6 7), 48

,mu,isomorphisms
,(0 1)(2 3)(4 5)(6 7), 768

Cycle Partition: [3  1  2]
,mu,isomorphisms
,(2 3 4 5 6 7), 24

,mu,isomorphisms
,(1 2)(3 4 5 6 7), 20

,mu,isomorphisms
,(1 2 3)(4 5 6 7), 24

,mu,isomorphisms
,(0 1)(2 3)(4 5 6 7), 64

,mu,isomorphisms
,(0 1)(2 3 4)(5 6 7), 72

Cycle Partition: [3  2  1]
,mu,isomorphisms
,(2 3 4 5 6 7), 24

,mu,isomorphisms
,(1 2)(3 4 5 6 7), 20

,mu,isomorphisms
,(1 2 3)(4 5 6 7), 24

,mu,isomorphisms
,(0 1)(2 3)(4 5 6 7), 64

,mu,isomorphisms
,(0 1)(2 3 4)(5 6 7), 72

Cycle Partition: [2  2  2]
,mu,isomorphisms
,(1 2 3 4 5 6 7), 14

,mu,isomorphisms
,(0 1)(2 3 4 5 6 7), 24

,mu,isomorphisms
,(0 1 2)(3 4 5 6 7), 30

,mu,isomorphisms
,(0 1 2 3)(4 5 6 7), 64

