Partitions: [[2  1  1]]


Cycle Partition: [2  1  1]
,mu,isomorphisms
,(1 2 3 4 5 6 7), 14

,mu,isomorphisms
,(0 1)(2 3 4 5 6 7), 24

,mu,isomorphisms
,(0 1 2)(3 4 5 6 7), 30

,mu,isomorphisms
,(0 1 2 3)(4 5 6 7), 64

