['Partitions: [[8  1  1]  [7  1  2]  [7  2  1]  [6  1  3]  [6  3  1]  [5  1  4]  [5  4  1]  [6  2  2]  [5  2  3]  [5  3  2]  [4  2  4]  [4  4  2]  [4  3  3]]']


Cycle Partition, Mu, # Iso, # Sigmas, C, # Tot Sigmas, C, # All Paritions, C, Percent Connected
[8  1  1], (7),  80640, 5040, 5040
[8  1  1],,,,,5040, 5040

[7  1  2], (6 7),  2880, 5040, 5040
[7  1  2],,,,,5040, 5040

[7  2  1], (6 7),  2880, 5040, 5040
[7  2  1],,,,,5040, 5040

[6  1  3], (5 6 7),  720, 2520, 2520
[6  1  3], (4 5)(6 7),  384, 3360, 3360
[6  1  3],,,,,5880, 5880

[6  3  1], (5 6 7),  720, 2520, 2520
[6  3  1], (4 5)(6 7),  384, 3360, 3360
[6  3  1],,,,,5880, 5880

[5  1  4], (4 5 6 7),  192, 840, 840
[5  1  4], (3 4)(5 6 7),  72, 1260, 1260
[5  1  4], (2 3)(4 5)(6 7),  192, 1680, 1680
[5  1  4],,,,,3780, 3780

[5  4  1], (4 5 6 7),  192, 840, 840
[5  4  1], (3 4)(5 6 7),  72, 1260, 1260
[5  4  1], (2 3)(4 5)(6 7),  192, 1680, 1680
[5  4  1],,,,,3780, 3780

[6  2  2], (5 6 7),  720, 10314, 7560
[6  2  2], (4 5)(6 7),  384, 9676, 8400
[6  2  2],,,,,19990, 15960

[5  2  3], (4 5 6 7),  192, 8230, 5040
[5  2  3], (3 4)(5 6 7),  72, 8436, 6300
[5  2  3], (2 3)(4 5)(6 7),  192, 8684, 7392
[5  2  3],,,,,25350, 18732

[5  3  2], (4 5 6 7),  192, 8230, 5040
[5  3  2], (3 4)(5 6 7),  72, 8436, 6300
[5  3  2], (2 3)(4 5)(6 7),  192, 8684, 7392
[5  3  2],,,,,25350, 18732

[4  2  4], (3 4 5 6 7),  60, 3705, 2100
[4  2  4], (2 3)(4 5 6 7),  32, 4106, 2856
[4  2  4], (2 3 4)(5 6 7),  72, 4083, 3024
[4  2  4], (1 2)(3 4)(5 6 7),  48, 4470, 3696
[4  2  4], (0 1)(2 3)(4 5)(6 7),  768, 4832, 4464
[4  2  4],,,,,21196, 16140

[4  4  2], (3 4 5 6 7),  60, 3705, 2100
[4  4  2], (2 3)(4 5 6 7),  32, 4106, 2856
[4  4  2], (2 3 4)(5 6 7),  72, 4083, 3024
[4  4  2], (1 2)(3 4)(5 6 7),  48, 4470, 3696
[4  4  2], (0 1)(2 3)(4 5)(6 7),  768, 4832, 4464
[4  4  2],,,,,21196, 16140

[4  3  3], (3 4 5 6 7),  60, 8624, 4200
[4  3  3], (2 3)(4 5 6 7),  32, 8428, 5376
[4  3  3], (2 3 4)(5 6 7),  72, 8671, 5796
[4  3  3], (1 2)(3 4)(5 6 7),  48, 8514, 6720
[4  3  3], (0 1)(2 3)(4 5)(6 7),  768, 8632, 7872
[4  3  3],,,,,42869, 29964

,,,,,,,190391,150108,78.84196206753471
