['Partitions: [[6  1  1]  [5  1  2]  [5  2  1]  [4  1  3]  [4  3  1]  [4  2  2]  [3  2  3]  [3  3  2]]']


Cycle Partition, Mu, # Iso, # Sigmas, C, # Tot Sigmas, C, # All Paritions, C, Percent Connected
[6  1  1], (5),  1440, 120, 120
[6  1  1],,,,,120, 120

[5  1  2], (4 5),  96, 120, 120
[5  1  2],,,,,120, 120

[5  2  1], (4 5),  96, 120, 120
[5  2  1],,,,,120, 120

[4  1  3], (3 4 5),  36, 60, 60
[4  1  3], (2 3)(4 5),  32, 80, 80
[4  1  3],,,,,140, 140

[4  3  1], (3 4 5),  36, 60, 60
[4  3  1], (2 3)(4 5),  32, 80, 80
[4  3  1],,,,,140, 140

[4  2  2], (3 4 5),  36, 227, 180
[4  2  2], (2 3)(4 5),  32, 218, 200
[4  2  2],,,,,445, 380

[3  2  3], (2 3 4 5),  16, 165, 120
[3  2  3], (1 2)(3 4 5),  12, 173, 150
[3  2  3], (0 1)(2 3)(4 5),  96, 182, 176
[3  2  3],,,,,520, 446

[3  3  2], (2 3 4 5),  16, 165, 120
[3  3  2], (1 2)(3 4 5),  12, 173, 150
[3  3  2], (0 1)(2 3)(4 5),  96, 182, 176
[3  3  2],,,,,520, 446

,,,,,,,2125,1912,89.97647058823529
