['Partitions: [[7  1  1]  [6  1  2]  [6  2  1]  [5  1  3]  [5  3  1]  [4  1  4]  [4  4  1]  [5  2  2]  [4  2  3]  [4  3  2]  [3  3  3]]']


Cycle Partition, Mu, # Iso, # Sigmas, C, # Tot Sigmas, C, # All Paritions, C, Percent Connected
[7  1  1], (6),  10080, 720, 720
[7  1  1],,,,,720, 720

[6  1  2], (5 6),  480, 720, 720
[6  1  2],,,,,720, 720

[6  2  1], (5 6),  480, 720, 720
[6  2  1],,,,,720, 720

[5  1  3], (4 5 6),  144, 360, 360
[5  1  3], (3 4)(5 6),  96, 480, 480
[5  1  3],,,,,840, 840

[5  3  1], (4 5 6),  144, 360, 360
[5  3  1], (3 4)(5 6),  96, 480, 480
[5  3  1],,,,,840, 840

[4  1  4], (3 4 5 6),  48, 120, 120
[4  1  4], (2 3)(4 5 6),  24, 180, 180
[4  1  4], (1 2)(3 4)(5 6),  96, 240, 240
[4  1  4],,,,,540, 540

[4  4  1], (3 4 5 6),  48, 120, 120
[4  4  1], (2 3)(4 5 6),  24, 180, 180
[4  4  1], (1 2)(3 4)(5 6),  96, 240, 240
[4  4  1],,,,,540, 540

[5  2  2], (4 5 6),  144, 1422, 1080
[5  2  2], (3 4)(5 6),  96, 1348, 1200
[5  2  2],,,,,2770, 2280

[4  2  3], (3 4 5 6),  48, 1090, 720
[4  2  3], (2 3)(4 5 6),  24, 1128, 900
[4  2  3], (1 2)(3 4)(5 6),  96, 1172, 1056
[4  2  3],,,,,3390, 2676

[4  3  2], (3 4 5 6),  48, 1090, 720
[4  3  2], (2 3)(4 5 6),  24, 1128, 900
[4  3  2], (1 2)(3 4)(5 6),  96, 1172, 1056
[4  3  2],,,,,3390, 2676

[3  3  3], (2 3 4 5 6),  20, 1048, 600
[3  3  3], (1 2)(3 4 5 6),  16, 1028, 768
[3  3  3], (1 2 3)(4 5 6),  36, 1063, 828
[3  3  3], (0 1)(2 3)(4 5 6),  48, 1048, 960
[3  3  3],,,,,4187, 3156

,,,,,,,18657,15708,84.19360025727609
